GEO_ID,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include
1400000US36061012800,0.5,82.3,166081.0,416.0,15.5,2060.0,24.1,5683.0,9.9,83.1,0.6,3.3,0
1400000US36061012900,3.799999999999997,77.9,121119.0,3525.0,85.5,2642.0,32.6,7122.0,14.3,60.9,2.1,18.8,1
1400000US36061013000,2.700000000000003,84.9,189191.0,574.0,30.9,1836.0,25.3,3466.0,5.3,87.1,0.4,4.5,1
1400000US36061013100,5.599999999999994,80.6,117270.0,1569.0,88.9,2830.0,31.9,2696.0,14.2,59.5,1.9,23.9,1
1400000US36061013200,2.5,77.8,102232.0,4282.0,78.1,2120.0,35.4,10850.0,30.0,59.1,0.3,5.9,1
1400000US36061013300,6.5,70.0,79896.0,2758.0,85.9,2088.0,39.5,5679.0,24.2,45.0,2.2,23.3,1
1400000US36061013400,1.0999999999999943,79.2,97119.0,3820.0,55.1,1894.0,38.4,12076.0,0.0,84.1,5.1,9.5,1
1400000US36061013500,10.700000000000003,55.9,63355.0,4230.0,94.6,1177.0,37.1,8254.0,32.9,41.2,3.8,14.7,1
1400000US36061013600,2.200000000000003,80.3,115597.0,5522.0,67.1,2358.0,31.1,15959.0,8.2,84.9,1.8,5.8,1
1400000US36061013700,1.5,83.6,164773.0,2353.0,67.5,3061.0,31.3,6419.0,10.1,69.8,2.4,12.6,1
1400000US36061013800,0.7999999999999972,81.9,133103.0,5088.0,74.4,2378.0,27.8,12201.0,5.5,80.1,1.0,11.9,1
1400000US36061013900,3.200000000000003,72.1,97236.0,4802.0,76.2,1762.0,27.6,10465.0,12.6,60.0,5.2,15.3,1
1400000US36061014000,2.0999999999999943,84.3,141797.0,1965.0,49.5,2381.0,31.4,7529.0,6.3,85.6,0.9,5.9,1
1400000US36061014200,0.5,80.3,165833.0,752.0,33.8,2197.0,30.4,4493.0,1.4,87.2,0.2,8.5,1
1400000US36061014300,0.0,0.0,,0.0,,,,3.0,33.3,0.0,66.7,0.0,0
1400000US36061014401,1.7999999999999972,80.3,125066.0,1348.0,52.8,2383.0,42.6,5018.0,5.3,82.7,0.7,9.3,1
1400000US36061014402,0.9000000000000057,90.3,125625.0,2629.0,69.4,2268.0,36.2,6943.0,2.6,86.4,1.2,6.6,1
1400000US36061014500,1.7999999999999972,82.0,162750.0,1868.0,63.8,,32.5,5960.0,10.7,64.4,3.8,15.3,1
1400000US36061014601,1.9000000000000057,85.5,122026.0,2274.0,92.5,2345.0,29.9,4268.0,15.3,66.0,0.3,16.9,1
1400000US36061014602,0.7999999999999972,86.3,103500.0,3266.0,72.9,2226.0,33.5,7560.0,10.7,80.6,0.6,6.8,1
1400000US36061014700,1.0999999999999943,92.3,191429.0,1427.0,89.3,3112.0,18.9,3350.0,14.9,51.1,1.1,28.1,1
1400000US36061014801,3.299999999999997,87.0,161111.0,899.0,59.3,2416.0,32.5,3135.0,7.9,79.3,0.5,8.1,1
1400000US36061014802,3.0999999999999943,86.4,123950.0,2094.0,61.9,2449.0,28.9,6786.0,11.0,73.7,0.5,10.0,1
1400000US36061014900,0.4000000000000057,83.8,146771.0,1788.0,62.1,2665.0,28.1,4973.0,10.0,75.8,1.3,12.1,1
1400000US36061015001,0.4000000000000057,86.9,159125.0,421.0,39.3,2268.0,22.3,2126.0,5.8,80.3,1.5,12.7,0
1400000US36061015002,2.0,86.6,236518.0,380.0,16.3,2664.0,14.6,4999.0,7.2,86.6,1.3,4.1,0
1400000US36061015100,12.400000000000006,57.7,54797.0,4108.0,90.2,1029.0,32.8,9253.0,32.1,30.9,5.2,18.0,1
1400000US36061015200,9.599999999999994,65.1,78684.0,3107.0,81.8,1272.0,34.4,7414.0,27.3,50.8,3.8,8.0,1
1400000US36061015300,0.7999999999999972,81.8,168654.0,3053.0,57.2,2761.0,23.3,10061.0,6.1,78.8,0.6,11.6,1
1400000US36061015400,3.5,77.8,86813.0,4835.0,67.2,2080.0,33.0,13554.0,13.2,68.0,1.8,8.7,1
1400000US36061015500,0.5999999999999943,85.1,121094.0,2054.0,35.2,3150.0,31.1,9991.0,1.0,83.7,1.1,10.9,1
1400000US36061015601,2.0,74.7,98718.0,2579.0,97.7,2425.0,32.3,5324.0,11.6,62.7,4.2,19.4,1
1400000US36061015602,20.799999999999997,38.5,58750.0,953.0,90.3,1013.0,31.6,2458.0,38.7,23.4,11.1,11.2,1
1400000US36061015700,0.09999999999999432,91.0,145606.0,3286.0,61.3,2176.0,25.0,9755.0,6.3,77.5,1.8,10.6,1
1400000US36061015801,0.4000000000000057,96.1,159712.0,1178.0,47.5,2553.0,27.6,5136.0,3.7,82.5,0.5,10.7,1
1400000US36061015802,4.400000000000006,76.9,92578.0,1715.0,97.6,2299.0,29.4,4519.0,12.9,54.0,4.6,19.9,1
1400000US36061015900,2.299999999999997,86.4,133942.0,2443.0,46.8,2427.0,33.8,9342.0,6.1,80.0,2.2,7.9,1
1400000US36061016001,0.5,90.4,,275.0,16.5,2655.0,33.2,3755.0,6.9,83.1,0.5,6.1,0
1400000US36061016002,6.200000000000003,80.1,121250.0,689.0,54.3,1729.0,33.0,3574.0,13.6,65.6,1.4,14.9,1
1400000US36061016100,2.4000000000000057,84.3,120625.0,2405.0,69.9,2371.0,34.2,6204.0,7.8,76.8,1.5,9.8,1
1400000US36061016200,16.099999999999994,31.6,38560.0,3691.0,89.5,934.0,33.5,9906.0,41.6,6.9,5.5,10.0,1
1400000US36061016300,1.7999999999999972,79.2,125938.0,2046.0,58.1,2203.0,37.0,6822.0,5.0,86.5,0.7,8.1,1
