GEO_ID,NAME,tract,total_population,CARES_exclusion_c,pay over 50,percentage-renters-less12k,ui_rate,unemployment rate,Risk of Job Displacement,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include,CARES_exclusion_c bin,pay over 50 bin,percentage-renters-less12k bin,ui_rate bin,unemployment rate bin,Risk of Job Displacement bin,sum_rankings,RVI
1400000US36047008500,"Census Tract 85, Kings County, New York",36047008500,7555,0.4811794144937127,0.28,0.5813728649693845,-0.5153671461014382,33.86,0.22489217498459643,45.0,4.3,12492.0,3103.0,100.0,421.0,38.3,7555.0,39.8,1.4,5.5,5.3,1,5,3,5.0,1,5,4,23.0,5
1400000US36047008600,"Census Tract 86, Kings County, New York",36047008600,0,0.0,,,-inf,,,,,,0.0,,,,0.0,,,,,0,,,,,,,,0
1400000US36047008800,"Census Tract 88, Kings County, New York",36047008800,2636,0.06645784493930196,0.16,0.16337522441651706,-0.08468125594671738,3.86,0.15778546712802768,22.0,45.6,62388.0,557.0,48.4,1482.0,26.2,2636.0,30.0,39.2,2.9,20.7,1,2,1,1.0,1,2,3,10.0,1
1400000US36047009000,"Census Tract 90, Kings County, New York",36047009000,2872,0.3003554454038998,0.32,0.2215568862275449,0.18819561551433395,5.87,0.25589459084604715,44.1,18.8,41862.0,668.0,77.4,1419.0,58.7,2872.0,49.7,11.7,1.9,35.4,1,4,3,2.0,4,3,5,21.0,4
1400000US36047009200,"Census Tract 92, Kings County, New York",36047009200,5668,0.3384667035444602,0.43,0.407380073800738,0.23330316742081447,9.62,0.31867688584106496,45.6,23.8,45333.0,1355.0,79.8,1278.0,63.5,5668.0,39.3,9.0,2.5,47.2,1,5,5,4.0,4,4,5,27.0,5
1400000US36047009400,"Census Tract 94, Kings County, New York",36047009400,5253,0.021219170373120044,0.32,0.29914529914529914,0.20951061865189313,4.1,0.33736884584342214,52.3,22.9,43729.0,1170.0,78.4,1318.0,49.3,5253.0,22.2,12.8,2.5,61.1,1,1,3,3.0,4,2,5,18.0,3
1400000US36047009600,"Census Tract 96, Kings County, New York",36047009600,6218,0.08653643704406566,0.4,0.39355742296918766,0.305625252934035,5.57,0.2912430305018039,44.5,19.1,43815.0,1428.0,77.0,1464.0,59.3,6218.0,52.9,16.2,1.0,25.6,1,2,5,4.0,5,3,5,24.0,5
1400000US36047009800,"Census Tract 98, Kings County, New York",36047009800,7012,0.22212357457216203,0.37,0.4120795107033639,0.4194594594594594,4.29,0.3601654470251352,61.5,7.4,44538.0,1308.0,77.1,1375.0,57.1,7012.0,53.1,5.4,2.0,39.4,1,4,4,4.0,5,2,5,24.0,5
1400000US36047010000,"Census Tract 100, Kings County, New York",36047010000,6178,0.19009781115409508,0.28,0.34285714285714286,0.3251270878721859,6.5,0.396505376344086,62.3,12.2,53131.0,1330.0,80.9,1277.0,36.9,6178.0,37.6,8.1,0.1,53.7,1,3,3,3.0,5,3,5,22.0,5
1400000US36047010100,"Census Tract 101, Kings County, New York",36047010100,4057,0.2797978491989155,0.26,0.2472582253240279,0.18726256983240197,3.15,0.22910350801212645,22.700000000000006,32.2,67614.0,1003.0,70.8,1491.0,39.0,4057.0,56.8,22.2,2.3,13.0,1,4,2,2.0,4,1,4,17.0,3
1400000US36047010200,"Census Tract 102, Kings County, New York",36047010200,5142,0.26642748609295996,0.2,0.24134312696747115,0.32481001341081805,2.68,0.4343891402714932,52.4,18.3,56056.0,953.0,73.5,1291.0,40.7,5142.0,24.0,4.4,0.2,71.4,1,4,1,2.0,5,1,5,18.0,3
1400000US36047010400,"Census Tract 104, Kings County, New York",36047010400,5362,0.0,0.29,0.3267504488330341,0.3219133278822568,5.31,0.44277329420396183,54.9,16.7,44688.0,1114.0,73.5,1289.0,55.9,5362.0,5.5,7.5,0.7,84.5,1,1,3,3.0,5,2,5,19.0,3
1400000US36047010600,"Census Tract 106, Kings County, New York",36047010600,4426,0.0,0.29,0.2939297124600639,0.12176689728579027,5.89,0.28994082840236685,61.2,14.6,45179.0,939.0,77.3,1413.0,52.3,4426.0,10.3,9.2,0.9,76.7,1,1,3,3.0,3,3,5,18.0,3
1400000US36047010800,"Census Tract 108, Kings County, New York",36047010800,3795,0.0,0.31,0.3281893004115226,0.03992490613266575,1.94,0.39111354909489854,61.5,12.2,45481.0,972.0,75.3,1278.0,55.6,3795.0,14.4,9.7,0.7,75.2,1,1,3,3.0,2,1,5,15.0,2
1400000US36047011000,"Census Tract 110, Kings County, New York",36047011000,2445,0.13657781953783232,0.49,0.33509234828496043,0.018059299191374945,6.1,0.18261826182618263,35.8,16.5,51000.0,379.0,62.5,1567.0,63.5,2445.0,29.0,36.0,1.1,31.8,0,,,,,,,,0
1400000US36047011200,"Census Tract 112, Kings County, New York",36047011200,6267,0.0,0.42,0.5383211678832117,0.05124223602484468,6.19,0.22838427947598253,40.7,18.0,29264.0,1644.0,86.8,1252.0,61.0,6267.0,29.8,44.9,1.3,22.6,1,1,5,5.0,2,3,4,20.0,4
1400000US36047011400,"Census Tract 114, Kings County, New York",36047011400,4177,0.0,0.41,0.4307891332470893,0.15206149545772185,2.94,0.33526383526383524,40.5,21.8,43869.0,773.0,72.2,1247.0,61.4,4177.0,13.0,46.3,3.5,30.5,1,1,5,4.0,3,1,5,19.0,3
