"GEO_ID","id"
"B25074_059E","Estimate!!Total!!$100,000 or more!!25.0 to 29.9 percent"
"B25074_059M","Margin of Error!!Total!!$100,000 or more!!25.0 to 29.9 percent"
"B25074_060E","Estimate!!Total!!$100,000 or more!!30.0 to 34.9 percent"
"B25074_060M","Margin of Error!!Total!!$100,000 or more!!30.0 to 34.9 percent"
"B25074_061E","Estimate!!Total!!$100,000 or more!!35.0 to 39.9 percent"
"B25074_061M","Margin of Error!!Total!!$100,000 or more!!35.0 to 39.9 percent"
"B25074_062E","Estimate!!Total!!$100,000 or more!!40.0 to 49.9 percent"
"B25074_062M","Margin of Error!!Total!!$100,000 or more!!40.0 to 49.9 percent"
"B25074_063E","Estimate!!Total!!$100,000 or more!!50.0 percent or more"
"B25074_063M","Margin of Error!!Total!!$100,000 or more!!50.0 percent or more"
"B25074_064E","Estimate!!Total!!$100,000 or more!!Not computed"
"B25074_064M","Margin of Error!!Total!!$100,000 or more!!Not computed"
