"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1400000US36005023502","Census Tract 235.02, Bronx County, New York","1585","66","12","18","68","57","192","84","48","46","143","74","117","61","138","73","137","68","660","136","70","48"
"1400000US36005023600","Census Tract 236, Bronx County, New York","543","58","22","20","27","25","38","31","29","26","33","24","67","39","40","35","48","35","210","57","29","27"
"1400000US36005023702","Census Tract 237.02, Bronx County, New York","334","28","34","23","19","14","17","12","13","15","19","18","40","23","8","9","29","20","135","39","20","21"
"1400000US36005023703","Census Tract 237.03, Bronx County, New York","1490","78","36","42","71","70","192","96","127","77","62","54","87","60","30","39","117","69","614","150","154","93"
"1400000US36005023704","Census Tract 237.04, Bronx County, New York","1322","80","35","45","9","15","60","67","68","71","150","83","55","38","90","75","134","80","678","145","43","41"
"1400000US36005023800","Census Tract 238, Bronx County, New York","599","74","22","26","14","14","88","44","28","27","62","42","58","37","27","24","58","35","227","65","15","23"
"1400000US36005023900","Census Tract 239, Bronx County, New York","2472","128","11","21","149","125","173","128","187","108","128","82","192","99","197","120","46","54","1143","218","246","123"
"1400000US36005024000","Census Tract 240, Bronx County, New York","907","126","14","21","27","31","62","56","66","54","52","36","173","94","44","39","48","44","409","115","12","18"
"1400000US36005024100","Census Tract 241, Bronx County, New York","1753","103","31","47","92","62","72","52","128","66","111","69","284","116","97","67","166","78","718","128","54","49"
"1400000US36005024300","Census Tract 243, Bronx County, New York","1875","83","15","21","65","45","161","74","164","86","132","68","168","65","65","53","188","89","807","155","110","71"
"1400000US36005024400","Census Tract 244, Bronx County, New York","504","68","0","11","54","36","47","44","56","36","39","23","27","27","46","34","31","33","188","72","16","21"
"1400000US36005024501","Census Tract 245.01, Bronx County, New York","1452","78","16","18","13","15","99","57","140","70","117","63","71","49","121","70","189","100","537","114","149","70"
